nome_cs,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,fonte_censo,data_extracao_censo
CENTRO DE SAUDE AARAO REIS,11653,NA,NA,0.16,1.8,23,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ALCIDES LINS,16826,NA,NA,0.08,1.8,42,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ALTO VERA CRUZ,11675,NA,NA,0.13,2.66,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE AMILCAR VIANA MARTINS,12697,NA,NA,0.14,1.56,26,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ANDRADAS,18084,NA,NA,1.41,1.94,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,13842,NA,NA,3.37,1.83,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,19304,NA,NA,0.16,1.61,46,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BARREIRO DE CIMA,17070,NA,NA,0.03,1.68,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BETANIA,10842,NA,NA,0.05,1.69,25,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BOA VISTA,10081,NA,NA,0.16,2.11,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BOM JESUS,9948,NA,NA,0.1,1.98,20,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BONSUCESSO,12489,NA,NA,0.89,1.98,27,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CABANA,16585,NA,NA,0.07,1.87,43,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CACHOEIRINHA,13788,NA,NA,0.35,1.8,33,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAFEZAL,9511,NA,NA,0.22,2.38,22,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CALIFORNIA,15835,NA,NA,0.34,1.73,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAMARGOS,13240,NA,NA,0.18,1.32,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAMPO ALEGRE,18050,NA,NA,0.04,1.54,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAPITAO EDUARDO,4582,NA,NA,2.65,2.18,10,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CARLOS CHAGAS,23141,NA,NA,0.25,1.12,74,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CARLOS PRATES,28260,NA,NA,0.73,1.62,64,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CEU AZUL,18187,NA,NA,0.23,1.96,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CICERO IDELFONSO,10511,NA,NA,0.18,2.1,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CIDADE OZANAN,24556,NA,NA,0.59,1.35,54,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CONFISCO,11502,NA,NA,0.13,1.94,24,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CONJUNTO BETANIA,8413,NA,NA,2.89,1.76,17,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CONJUNTO PAULO VI,8644,NA,NA,5.58,2.16,16,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,7747,NA,NA,0.75,2.08,16,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CONJUNTO SANTA MARIA,17134,NA,NA,0.45,1.59,40,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE COPACABANA,14188,NA,NA,0.16,1.78,32,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE COQUEIROS,15630,NA,NA,0.1,1.91,29,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,14609,NA,NA,1.23,1.6,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE DOM BOSCO,12206,NA,NA,0.13,1.83,26,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE DOM CABRAL,12537,NA,NA,0.02,1.65,36,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE DOM JOAQUIM,6989,NA,NA,0.04,1.61,14,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE DOM ORIONE,16001,NA,NA,0.72,1.67,41,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ERMELINDA,17373,NA,NA,0.8,1.99,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ETELVINA CARNEIRO,15060,NA,NA,1.34,2.07,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE FELICIDADE II,7478,NA,NA,0.13,2.43,13,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE FLORAMAR,8042,NA,NA,0.26,1.63,14,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE GENTIL GOMES,12822,NA,NA,0.1,1.92,26,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE GLORIA,9539,NA,NA,0.16,1.8,24,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE GOIANIA,18683,NA,NA,0.71,1.94,40,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE GRANJA DE FREITAS,6941,NA,NA,0.24,2.23,13,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE GUARANI,8192,NA,NA,0.35,1.83,14,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE HAVAI,30102,NA,NA,0.24,1.43,68,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE HELIOPOLIS,16278,NA,NA,0.07,1.76,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE HORTO,38193,NA,NA,0.14,1.41,103,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE INDEPENDENCIA,15449,NA,NA,0.36,1.88,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ITAIPU - JATOBA,14590,NA,NA,0.74,1.81,25,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ITAMARATI,15510,NA,NA,0.7,1.45,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JAQUELINE,7616,NA,NA,0.2,1.81,11,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JAQUELINE II,9548,NA,NA,0.2,1.9,17,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM ALVORADA,10754,NA,NA,0.13,1.96,26,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,10984,NA,NA,0.52,2.18,20,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM EUROPA,13444,NA,NA,0.31,1.86,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM FELICIDADE,9896,NA,NA,0.18,2.5,18,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM FILADELFIA,9862,NA,NA,0.06,2.13,20,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM GUANABARA,15137,NA,NA,0.15,1.72,27,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM LEBLON,13490,NA,NA,0.28,2.02,33,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM MONTANHES,24448,NA,NA,0.1,1.51,57,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,12263,NA,NA,0.09,1.66,27,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JOAO PINHEIRO,10997,NA,NA,0.19,1.64,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JOAO VITAL,6474,NA,NA,3.54,1.77,16,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE JOAO XXIII,3483,NA,NA,0,1.65,8,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE LAGOA,12739,NA,NA,0.19,2.16,25,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE LAJEDO,14299,NA,NA,14.47,1.91,25,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,11083,NA,NA,0.21,1.77,24,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,9054,NA,NA,0.15,1.71,19,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MANGUEIRAS,14154,NA,NA,2.49,2.02,32,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MANTIQUEIRA,15041,NA,NA,0.49,1.98,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MARIA GORETTI,14441,NA,NA,0.07,1.94,32,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MARIANO DE ABREU,13639,NA,NA,0.08,2.16,27,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MENINO JESUS,47327,NA,NA,0.54,1.19,125,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MG-20,7597,NA,NA,8.42,2.03,16,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MILIONARIOS,16929,NA,NA,0.15,1.66,35,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MINAS CAIXA,15827,NA,NA,0.28,2.08,32,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,17545,NA,NA,0.06,1.59,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE NAZARE,14139,NA,NA,0.17,1.97,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE NORALDINO DE LIMA,35966,NA,NA,0.31,1.38,100,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE NOSSA SENHORA APARECIDA,21963,NA,NA,0.32,1.81,52,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE NOSSA SENHORA DE FATIMA,36048,NA,NA,0.76,1.58,91,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE NOVA YORK,11184,NA,NA,0.41,1.96,22,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE NOVO AARAO REIS,7517,NA,NA,0.51,2.21,11,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE NOVO HORIZONTE,9531,NA,NA,0.76,2.47,18,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE OLAVO ALBINO CORREA,12417,NA,NA,1.64,1.8,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE OSWALDO CRUZ,23481,NA,NA,3.58,1.13,67,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE OURO PRETO,23683,NA,NA,0.14,1.48,54,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PADRE EUSTAQUIO,21447,NA,NA,0.77,1.41,55,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PADRE JOAQUIM MAIA,18335,NA,NA,0.7,1.48,42,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PADRE TARCISIO,14401,NA,NA,0.66,1.6,33,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PADRE TIAGO,13920,NA,NA,0.22,1.8,30,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PALMEIRAS,25274,NA,NA,1.31,1.41,55,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PARAISO,24579,NA,NA,0.1,1.71,61,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PARAUNA - VENDA NOVA,18712,NA,NA,0.19,1.87,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PAULO VI - MARIVANDA BALEEIRO,17311,NA,NA,0.51,1.77,39,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PEDREIRA PRADO LOPES,8846,NA,NA,0.03,2.51,20,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PILAR - OLHOS DAGUA,8350,NA,NA,1.72,2.04,16,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PINDORAMA ELZA MARTINS,13034,NA,NA,0.15,2.14,29,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PIRATININGA,15532,NA,NA,0.45,1.8,35,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE POMPEIA,16324,NA,NA,0.08,1.77,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PRIMEIRO DE MAIO,7078,NA,NA,0.28,2.01,17,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE PROVIDENCIA,12257,NA,NA,0.21,2.09,23,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE REGINA,11124,NA,NA,0.12,1.82,22,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE RIBEIRO DE ABREU,8760,NA,NA,1.13,1.99,22,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE RIO BRANCO,20121,NA,NA,0.07,1.75,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES,30101,NA,NA,0.45,1.51,69,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SALGADO FILHO,20439,NA,NA,0.38,1.84,47,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA AMELIA,41750,NA,NA,0.88,1.47,96,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA CECILIA,11658,NA,NA,0.02,1.9,25,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO,17030,NA,NA,0.06,1.58,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA INES,14961,NA,NA,0.07,1.66,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA LUCIA,10193,NA,NA,0.2,2.19,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA MARIA,9285,NA,NA,0.06,1.63,19,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA MONICA,14549,NA,NA,0.2,1.7,33,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA MONICA II - ALAMEDA DOS IPES,10097,NA,NA,0.47,1.61,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA RITA DE CASSIA,38753,NA,NA,0.38,1.44,89,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA ROSA,21165,NA,NA,0.04,1.49,43,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTA TEREZINHA,22837,NA,NA,0.11,1.53,41,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTO ANTONIO,11412,NA,NA,0.16,1.68,25,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SANTOS ANJOS,14751,NA,NA,0.02,1.67,35,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO BERNARDO - AMELIA ROCHA DE MELO,5674,NA,NA,0.05,2.1,11,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO CRISTOVAO,7467,NA,NA,0.25,2.04,20,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO FRANCISCO,3346,NA,NA,0.07,1.75,12,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA,13981,NA,NA,0.05,1.71,33,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO GERALDO,9626,NA,NA,0,1.83,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO JORGE,42048,NA,NA,0.27,1.74,111,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO JOSE,8079,NA,NA,0.26,1.9,20,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO JOSE OPERARIO,8324,NA,NA,0.13,1.84,17,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO MARCOS,10419,NA,NA,0.1,1.78,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO MIGUEL ARCANJO,9790,NA,NA,0.25,2.43,18,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO PAULO,11889,NA,NA,0.24,1.88,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SAO TOMAZ,9871,NA,NA,0.03,1.85,26,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SERRA VERDE,13945,NA,NA,0.87,1.81,30,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE SERRANO,26333,NA,NA,0.08,1.52,50,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE TAQUARIL,14504,NA,NA,1.95,2.13,30,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE TIA AMANCIA,17932,NA,NA,0.41,1.39,46,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE TIROL - FRANCISCO GOMES BARBOSA,14428,NA,NA,0.07,1.56,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE TREVO,14486,NA,NA,0.92,2.07,32,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE TUPI,8433,NA,NA,0.3,1.86,14,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE URUCUIA,17046,NA,NA,0.05,1.68,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VALE DO JATOBA,15443,NA,NA,0.07,2.04,29,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VENTOSA,22108,NA,NA,0.19,1.94,58,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VERA CRUZ,13736,NA,NA,0.18,2.13,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA CEMIG,7713,NA,NA,0.56,2.18,15,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA IMPERIAL,7604,NA,NA,1.05,2.23,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA LEONINA,23875,NA,NA,0.61,1.92,53,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA MARIA,12289,NA,NA,0.32,2.03,27,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA PINHO,16373,NA,NA,2.31,1.98,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO,27284,NA,NA,0.08,1.43,54,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VISTA ALEGRE,11736,NA,NA,0.12,2.06,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE WALDOMIRO LOBO,5905,NA,NA,0.13,2.05,16,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ZILAH SPOSITO,11392,NA,NA,21.89,2.36,30,IBGE_Censo2022,2026-05-15
