nome_cs,pct_area_favela,fonte_favelas,data_extracao_favelas
CENTRO DE SAUDE JARDIM ALVORADA,19.73,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.01,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VENTOSA,17.47,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE COQUEIROS,0.03,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE GLORIA,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE OLAVO ALBINO CORREA,10.78,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE GOIANIA,8.82,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,0.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PADRE TARCISIO,21.39,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE DOM CABRAL,6.26,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE INDEPENDENCIA,19.12,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOVO AARAO REIS,0.01,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VALE DO JATOBA,7.58,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,7.72,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA MONICA II - ALAMEDA DOS IPES,7.44,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO JOSE,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE URUCUIA,1.33,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE WALDOMIRO LOBO,26.13,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NORALDINO DE LIMA,1.43,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO FRANCISCO,0.62,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CONJUNTO PAULO VI,19.9,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ANDRADAS,5.45,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PILAR - OLHOS DAGUA,0.98,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE HAVAI,1.07,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE POMPEIA,3.16,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA RITA DE CASSIA,9.07,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,0.16,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM FELICIDADE,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM EUROPA,1.1,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SERRA VERDE,1.52,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE RIBEIRO DE ABREU,8.75,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA CEMIG,64.96,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA ROSA,3.49,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO JOSE OPERARIO,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MANGUEIRAS,31.22,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SERRANO,0.88,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PARAUNA - VENDA NOVA,0.93,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE COPACABANA,2.75,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VERA CRUZ,8.61,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PADRE JOAQUIM MAIA,0.43,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO,0.56,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE FLORAMAR,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CACHOEIRINHA,0.81,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PINDORAMA ELZA MARTINS,4.39,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA MARIA,0.2,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTO ANTONIO,0.7,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA INES,0.34,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA PINHO,21.09,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MG-20,10.64,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PAULO VI - MARIVANDA BALEEIRO,5.47,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JOAO VITAL,12.94,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE TUPI,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM MONTANHES,0.52,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BONSUCESSO,3.02,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE DOM JOAQUIM,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CAPITAO EDUARDO,10.53,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO MIGUEL ARCANJO,86.59,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE TREVO,4.79,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM GUANABARA,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA,3.59,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA LUCIA,39.98,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA CECILIA,11.05,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ITAMARATI,0.18,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CONFISCO,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE AARAO REIS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE OURO PRETO,2.74,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PADRE TIAGO,6.85,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PEDREIRA PRADO LOPES,23.44,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE AMILCAR VIANA MARTINS,0.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NAZARE,6.2,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CONJUNTO SANTA MARIA,2.13,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ALTO VERA CRUZ,76.26,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE HORTO,1.74,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE TAQUARIL,5.87,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,1.61,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO TOMAZ,18.34,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM FILADELFIA,11.6,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SALGADO FILHO,15.29,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MENINO JESUS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE GUARANI,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOSSA SENHORA DE FATIMA,3.01,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM LEBLON,29.3,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA TEREZINHA,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CONJUNTO BETANIA,1.71,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE DOM BOSCO,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CICERO IDELFONSO,41.65,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE FELICIDADE II,0.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PRIMEIRO DE MAIO,37.91,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOVA YORK,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MANTIQUEIRA,0.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO,3.67,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CARLOS PRATES,0.88,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA MARIA,6.64,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ETELVINA CARNEIRO,1.52,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO CRISTOVAO,14.14,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA LEONINA,6.51,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ITAIPU - JATOBA,9.39,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA MONICA,3.04,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JOAO PINHEIRO,1.61,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BARREIRO DE CIMA,0.02,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CIDADE OZANAN,0.27,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,1.69,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOVO HORIZONTE,98.48,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CALIFORNIA,4.44,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE LAJEDO,26.5,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE RIO BRANCO,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CABANA,14.4,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PADRE EUSTAQUIO,1.38,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PIRATININGA,7.25,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ALCIDES LINS,2.66,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JOAO XXIII,8.07,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MARIANO DE ABREU,14.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE GRANJA DE FREITAS,1.6,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CAMPO ALEGRE,0.17,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VISTA ALEGRE,25.48,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,2.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA IMPERIAL,21.38,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO GERALDO,1.15,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE GENTIL GOMES,1.56,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JAQUELINE II,1.05,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CAMARGOS,0.7,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MARIA GORETTI,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MILIONARIOS,1.07,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE DOM ORIONE,0.99,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PARAISO,5.02,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTOS ANJOS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO JORGE,12.77,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ERMELINDA,6.16,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO MARCOS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO PAULO,6.15,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BOM JESUS,0.01,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,2.46,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE REGINA,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CEU AZUL,1.57,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PROVIDENCIA,2.3,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOSSA SENHORA APARECIDA,10.76,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MINAS CAIXA,8.18,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JAQUELINE,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO BERNARDO - AMELIA ROCHA DE MELO,9.88,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE HELIOPOLIS,4.87,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE LAGOA,0.05,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE OSWALDO CRUZ,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE TIROL - FRANCISCO GOMES BARBOSA,3.27,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE TIA AMANCIA,1.69,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CARLOS CHAGAS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA AMELIA,0.01,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BETANIA,4.06,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PALMEIRAS,3.52,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BOA VISTA,0.19,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CAFEZAL,98.9,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ZILAH SPOSITO,31.88,IBGE_Censo2022_code_favela,2026-05-15
