nome_cs,faixa_etaria,pop_faixa
CENTRO DE SAUDE FELICIDADE II,5-9,536
CENTRO DE SAUDE FELICIDADE II,10-14,512
CENTRO DE SAUDE FELICIDADE II,15-19,531
CENTRO DE SAUDE FELICIDADE II,20-24,633
CENTRO DE SAUDE FELICIDADE II,25-29,577
CENTRO DE SAUDE FELICIDADE II,30-39,1213
CENTRO DE SAUDE FELICIDADE II,40-49,1053
CENTRO DE SAUDE FELICIDADE II,50-59,845
CENTRO DE SAUDE FELICIDADE II,60-69,717
CENTRO DE SAUDE FELICIDADE II,70+,409
CENTRO DE SAUDE FLORAMAR,0-4,304
CENTRO DE SAUDE FLORAMAR,5-9,425
CENTRO DE SAUDE FLORAMAR,10-14,409
CENTRO DE SAUDE FLORAMAR,15-19,501
CENTRO DE SAUDE FLORAMAR,20-24,544
CENTRO DE SAUDE FLORAMAR,25-29,547
CENTRO DE SAUDE FLORAMAR,30-39,1176
CENTRO DE SAUDE FLORAMAR,40-49,1356
CENTRO DE SAUDE FLORAMAR,50-59,1166
CENTRO DE SAUDE FLORAMAR,60-69,811
CENTRO DE SAUDE FLORAMAR,70+,803
CENTRO DE SAUDE GENTIL GOMES,0-4,542
CENTRO DE SAUDE GENTIL GOMES,5-9,589
CENTRO DE SAUDE GENTIL GOMES,10-14,604
CENTRO DE SAUDE GENTIL GOMES,15-19,697
CENTRO DE SAUDE GENTIL GOMES,20-24,840
CENTRO DE SAUDE GENTIL GOMES,25-29,884
CENTRO DE SAUDE GENTIL GOMES,30-39,1839
CENTRO DE SAUDE GENTIL GOMES,40-49,1850
CENTRO DE SAUDE GENTIL GOMES,50-59,1862
CENTRO DE SAUDE GENTIL GOMES,60-69,1749
CENTRO DE SAUDE GENTIL GOMES,70+,1365
CENTRO DE SAUDE GLORIA,0-4,297
CENTRO DE SAUDE GLORIA,5-9,428
CENTRO DE SAUDE GLORIA,10-14,455
CENTRO DE SAUDE GLORIA,15-19,546
CENTRO DE SAUDE GLORIA,20-24,634
CENTRO DE SAUDE GLORIA,25-29,678
CENTRO DE SAUDE GLORIA,30-39,1221
CENTRO DE SAUDE GLORIA,40-49,1365
CENTRO DE SAUDE GLORIA,50-59,1555
CENTRO DE SAUDE GLORIA,60-69,1253
CENTRO DE SAUDE GLORIA,70+,1097
CENTRO DE SAUDE GOIANIA,0-4,1082
CENTRO DE SAUDE GOIANIA,5-9,1168
CENTRO DE SAUDE GOIANIA,10-14,1237
CENTRO DE SAUDE GOIANIA,15-19,1240
CENTRO DE SAUDE GOIANIA,20-24,1538
CENTRO DE SAUDE GOIANIA,25-29,1404
CENTRO DE SAUDE GOIANIA,30-39,2721
CENTRO DE SAUDE GOIANIA,40-49,2916
CENTRO DE SAUDE GOIANIA,50-59,2415
CENTRO DE SAUDE GOIANIA,60-69,1599
CENTRO DE SAUDE GOIANIA,70+,1361
CENTRO DE SAUDE GRANJA DE FREITAS,0-4,509
CENTRO DE SAUDE GRANJA DE FREITAS,5-9,507
CENTRO DE SAUDE GRANJA DE FREITAS,10-14,568
CENTRO DE SAUDE GRANJA DE FREITAS,15-19,618
CENTRO DE SAUDE GRANJA DE FREITAS,20-24,650
CENTRO DE SAUDE GRANJA DE FREITAS,25-29,645
CENTRO DE SAUDE GRANJA DE FREITAS,30-39,1110
CENTRO DE SAUDE GRANJA DE FREITAS,40-49,932
CENTRO DE SAUDE GRANJA DE FREITAS,50-59,706
CENTRO DE SAUDE GRANJA DE FREITAS,60-69,455
CENTRO DE SAUDE GRANJA DE FREITAS,70+,241
CENTRO DE SAUDE GUARANI,0-4,324
CENTRO DE SAUDE GUARANI,5-9,376
CENTRO DE SAUDE GUARANI,10-14,387
CENTRO DE SAUDE GUARANI,15-19,464
CENTRO DE SAUDE GUARANI,20-24,567
CENTRO DE SAUDE GUARANI,25-29,610
CENTRO DE SAUDE GUARANI,30-39,1129
CENTRO DE SAUDE GUARANI,40-49,1234
CENTRO DE SAUDE GUARANI,50-59,1230
CENTRO DE SAUDE GUARANI,60-69,978
CENTRO DE SAUDE GUARANI,70+,893
CENTRO DE SAUDE HAVAI,0-4,1544
CENTRO DE SAUDE HAVAI,5-9,1752
CENTRO DE SAUDE HAVAI,10-14,1653
CENTRO DE SAUDE HAVAI,15-19,1611
CENTRO DE SAUDE HAVAI,20-24,1957
CENTRO DE SAUDE HAVAI,25-29,2386
CENTRO DE SAUDE HAVAI,30-39,5228
CENTRO DE SAUDE HAVAI,40-49,5551
CENTRO DE SAUDE HAVAI,50-59,3768
CENTRO DE SAUDE HAVAI,60-69,2750
CENTRO DE SAUDE HAVAI,70+,1892
CENTRO DE SAUDE HELIOPOLIS,0-4,834
CENTRO DE SAUDE HELIOPOLIS,5-9,893
CENTRO DE SAUDE HELIOPOLIS,10-14,918
CENTRO DE SAUDE HELIOPOLIS,15-19,956
CENTRO DE SAUDE HELIOPOLIS,20-24,1246
CENTRO DE SAUDE HELIOPOLIS,25-29,1210
CENTRO DE SAUDE HELIOPOLIS,30-39,2631
CENTRO DE SAUDE HELIOPOLIS,40-49,2740
CENTRO DE SAUDE HELIOPOLIS,50-59,2296
CENTRO DE SAUDE HELIOPOLIS,60-69,1485
CENTRO DE SAUDE HELIOPOLIS,70+,1067
CENTRO DE SAUDE HORTO,0-4,1260
CENTRO DE SAUDE HORTO,5-9,1316
CENTRO DE SAUDE HORTO,10-14,1355
CENTRO DE SAUDE HORTO,15-19,1497
CENTRO DE SAUDE HORTO,20-24,2139
CENTRO DE SAUDE HORTO,25-29,2944
CENTRO DE SAUDE HORTO,30-39,6399
CENTRO DE SAUDE HORTO,40-49,5423
CENTRO DE SAUDE HORTO,50-59,5011
CENTRO DE SAUDE HORTO,60-69,5102
CENTRO DE SAUDE HORTO,70+,5408
CENTRO DE SAUDE INDEPENDENCIA,0-4,828
CENTRO DE SAUDE INDEPENDENCIA,5-9,970
CENTRO DE SAUDE INDEPENDENCIA,10-14,1040
CENTRO DE SAUDE INDEPENDENCIA,15-19,1118
CENTRO DE SAUDE INDEPENDENCIA,20-24,1223
CENTRO DE SAUDE INDEPENDENCIA,25-29,1158
CENTRO DE SAUDE INDEPENDENCIA,30-39,2300
CENTRO DE SAUDE INDEPENDENCIA,40-49,2534
CENTRO DE SAUDE INDEPENDENCIA,50-59,1767
CENTRO DE SAUDE INDEPENDENCIA,60-69,1458
CENTRO DE SAUDE INDEPENDENCIA,70+,1051
CENTRO DE SAUDE ITAIPU - JATOBA,0-4,777
CENTRO DE SAUDE ITAIPU - JATOBA,5-9,907
CENTRO DE SAUDE ITAIPU - JATOBA,10-14,927
CENTRO DE SAUDE ITAIPU - JATOBA,15-19,1013
CENTRO DE SAUDE ITAIPU - JATOBA,20-24,1173
CENTRO DE SAUDE ITAIPU - JATOBA,25-29,1218
CENTRO DE SAUDE ITAIPU - JATOBA,30-39,2170
CENTRO DE SAUDE ITAIPU - JATOBA,40-49,2191
CENTRO DE SAUDE ITAIPU - JATOBA,50-59,1948
CENTRO DE SAUDE ITAIPU - JATOBA,60-69,1374
CENTRO DE SAUDE ITAIPU - JATOBA,70+,890
CENTRO DE SAUDE ITAMARATI,0-4,683
CENTRO DE SAUDE ITAMARATI,5-9,723
CENTRO DE SAUDE ITAMARATI,10-14,725
CENTRO DE SAUDE ITAMARATI,15-19,835
CENTRO DE SAUDE ITAMARATI,20-24,1252
CENTRO DE SAUDE ITAMARATI,25-29,1245
CENTRO DE SAUDE ITAMARATI,30-39,2696
CENTRO DE SAUDE ITAMARATI,40-49,2520
CENTRO DE SAUDE ITAMARATI,50-59,1904
CENTRO DE SAUDE ITAMARATI,60-69,1405
CENTRO DE SAUDE ITAMARATI,70+,1511
CENTRO DE SAUDE JAQUELINE,0-4,411
CENTRO DE SAUDE JAQUELINE,5-9,511
CENTRO DE SAUDE JAQUELINE,10-14,468
CENTRO DE SAUDE JAQUELINE,15-19,494
CENTRO DE SAUDE JAQUELINE,20-24,603
CENTRO DE SAUDE JAQUELINE,25-29,580
CENTRO DE SAUDE JAQUELINE,30-39,1242
CENTRO DE SAUDE JAQUELINE,40-49,1326
CENTRO DE SAUDE JAQUELINE,50-59,889
CENTRO DE SAUDE JAQUELINE,60-69,603
CENTRO DE SAUDE JAQUELINE,70+,489
CENTRO DE SAUDE JAQUELINE II,0-4,539
CENTRO DE SAUDE JAQUELINE II,5-9,596
CENTRO DE SAUDE JAQUELINE II,10-14,579
CENTRO DE SAUDE JAQUELINE II,15-19,626
CENTRO DE SAUDE JAQUELINE II,20-24,767
CENTRO DE SAUDE JAQUELINE II,25-29,772
CENTRO DE SAUDE JAQUELINE II,30-39,1429
CENTRO DE SAUDE JAQUELINE II,40-49,1520
CENTRO DE SAUDE JAQUELINE II,50-59,1252
CENTRO DE SAUDE JAQUELINE II,60-69,845
CENTRO DE SAUDE JAQUELINE II,70+,618
CENTRO DE SAUDE JARDIM ALVORADA,0-4,583
CENTRO DE SAUDE JARDIM ALVORADA,5-9,674
CENTRO DE SAUDE JARDIM ALVORADA,10-14,581
CENTRO DE SAUDE JARDIM ALVORADA,15-19,683
CENTRO DE SAUDE JARDIM ALVORADA,20-24,882
CENTRO DE SAUDE JARDIM ALVORADA,25-29,927
CENTRO DE SAUDE JARDIM ALVORADA,30-39,1552
CENTRO DE SAUDE JARDIM ALVORADA,40-49,1665
CENTRO DE SAUDE JARDIM ALVORADA,50-59,1391
CENTRO DE SAUDE JARDIM ALVORADA,60-69,1010
CENTRO DE SAUDE JARDIM ALVORADA,70+,791
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,0-4,595
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,5-9,674
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,10-14,674
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,15-19,717
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,20-24,886
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,25-29,833
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,30-39,1692
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,40-49,1713
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,50-59,1372
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,60-69,1067
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,70+,759
CENTRO DE SAUDE JARDIM EUROPA,0-4,573
CENTRO DE SAUDE JARDIM EUROPA,5-9,726
CENTRO DE SAUDE JARDIM EUROPA,10-14,735
CENTRO DE SAUDE JARDIM EUROPA,15-19,788
CENTRO DE SAUDE JARDIM EUROPA,20-24,1050
CENTRO DE SAUDE JARDIM EUROPA,25-29,932
CENTRO DE SAUDE JARDIM EUROPA,30-39,1747
CENTRO DE SAUDE JARDIM EUROPA,40-49,2099
CENTRO DE SAUDE JARDIM EUROPA,50-59,2025
CENTRO DE SAUDE JARDIM EUROPA,60-69,1354
CENTRO DE SAUDE JARDIM EUROPA,70+,1415
CENTRO DE SAUDE JARDIM FELICIDADE,0-4,549
CENTRO DE SAUDE JARDIM FELICIDADE,5-9,598
CENTRO DE SAUDE JARDIM FELICIDADE,10-14,683
CENTRO DE SAUDE JARDIM FELICIDADE,15-19,754
CENTRO DE SAUDE JARDIM FELICIDADE,20-24,808
CENTRO DE SAUDE JARDIM FELICIDADE,25-29,677
CENTRO DE SAUDE JARDIM FELICIDADE,30-39,1504
CENTRO DE SAUDE JARDIM FELICIDADE,40-49,1665
CENTRO DE SAUDE JARDIM FELICIDADE,50-59,1003
CENTRO DE SAUDE JARDIM FELICIDADE,60-69,959
CENTRO DE SAUDE JARDIM FELICIDADE,70+,689
CENTRO DE SAUDE JARDIM FILADELFIA,0-4,492
CENTRO DE SAUDE JARDIM FILADELFIA,5-9,533
CENTRO DE SAUDE JARDIM FILADELFIA,10-14,534
CENTRO DE SAUDE JARDIM FILADELFIA,15-19,597
CENTRO DE SAUDE JARDIM FILADELFIA,20-24,692
CENTRO DE SAUDE JARDIM FILADELFIA,25-29,747
CENTRO DE SAUDE JARDIM FILADELFIA,30-39,1412
CENTRO DE SAUDE JARDIM FILADELFIA,40-49,1409
CENTRO DE SAUDE JARDIM FILADELFIA,50-59,1341
CENTRO DE SAUDE JARDIM FILADELFIA,60-69,1148
CENTRO DE SAUDE JARDIM FILADELFIA,70+,947
CENTRO DE SAUDE JARDIM GUANABARA,0-4,789
CENTRO DE SAUDE JARDIM GUANABARA,5-9,874
CENTRO DE SAUDE JARDIM GUANABARA,10-14,834
CENTRO DE SAUDE JARDIM GUANABARA,15-19,915
CENTRO DE SAUDE JARDIM GUANABARA,20-24,1114
CENTRO DE SAUDE JARDIM GUANABARA,25-29,1059
CENTRO DE SAUDE JARDIM GUANABARA,30-39,2512
CENTRO DE SAUDE JARDIM GUANABARA,40-49,2545
CENTRO DE SAUDE JARDIM GUANABARA,50-59,1935
CENTRO DE SAUDE JARDIM GUANABARA,60-69,1389
CENTRO DE SAUDE JARDIM GUANABARA,70+,1171
CENTRO DE SAUDE JARDIM LEBLON,0-4,828
CENTRO DE SAUDE JARDIM LEBLON,5-9,908
CENTRO DE SAUDE JARDIM LEBLON,10-14,903
CENTRO DE SAUDE JARDIM LEBLON,15-19,958
CENTRO DE SAUDE JARDIM LEBLON,20-24,1145
CENTRO DE SAUDE JARDIM LEBLON,25-29,1115
CENTRO DE SAUDE JARDIM LEBLON,30-39,2079
CENTRO DE SAUDE JARDIM LEBLON,40-49,2109
CENTRO DE SAUDE JARDIM LEBLON,50-59,1541
CENTRO DE SAUDE JARDIM LEBLON,60-69,1135
CENTRO DE SAUDE JARDIM LEBLON,70+,761
CENTRO DE SAUDE JARDIM MONTANHES,0-4,912
CENTRO DE SAUDE JARDIM MONTANHES,5-9,1004
CENTRO DE SAUDE JARDIM MONTANHES,10-14,1034
CENTRO DE SAUDE JARDIM MONTANHES,15-19,1138
CENTRO DE SAUDE JARDIM MONTANHES,20-24,1549
CENTRO DE SAUDE JARDIM MONTANHES,25-29,1743
CENTRO DE SAUDE JARDIM MONTANHES,30-39,3794
CENTRO DE SAUDE JARDIM MONTANHES,40-49,3586
CENTRO DE SAUDE JARDIM MONTANHES,50-59,3501
CENTRO DE SAUDE JARDIM MONTANHES,60-69,3228
CENTRO DE SAUDE JARDIM MONTANHES,70+,2952
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,0-4,755
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,5-9,900
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,10-14,827
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,15-19,854
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,20-24,994
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,25-29,909
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,30-39,1897
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,40-49,2405
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,50-59,1477
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,60-69,796
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,70+,449
CENTRO DE SAUDE JOAO PINHEIRO,0-4,423
CENTRO DE SAUDE JOAO PINHEIRO,5-9,515
CENTRO DE SAUDE JOAO PINHEIRO,10-14,486
CENTRO DE SAUDE JOAO PINHEIRO,15-19,516
CENTRO DE SAUDE JOAO PINHEIRO,20-24,825
CENTRO DE SAUDE JOAO PINHEIRO,25-29,814
CENTRO DE SAUDE JOAO PINHEIRO,30-39,1662
CENTRO DE SAUDE JOAO PINHEIRO,40-49,1521
CENTRO DE SAUDE JOAO PINHEIRO,50-59,1618
CENTRO DE SAUDE JOAO PINHEIRO,60-69,1407
CENTRO DE SAUDE JOAO PINHEIRO,70+,1200
CENTRO DE SAUDE JOAO VITAL,0-4,488
CENTRO DE SAUDE JOAO VITAL,5-9,518
CENTRO DE SAUDE JOAO VITAL,10-14,465
CENTRO DE SAUDE JOAO VITAL,15-19,462
CENTRO DE SAUDE JOAO VITAL,20-24,609
CENTRO DE SAUDE JOAO VITAL,25-29,505
CENTRO DE SAUDE JOAO VITAL,30-39,1206
CENTRO DE SAUDE JOAO VITAL,40-49,1047
CENTRO DE SAUDE JOAO VITAL,50-59,630
CENTRO DE SAUDE JOAO VITAL,60-69,357
CENTRO DE SAUDE JOAO VITAL,70+,180
CENTRO DE SAUDE JOAO XXIII,0-4,195
CENTRO DE SAUDE JOAO XXIII,5-9,185
CENTRO DE SAUDE JOAO XXIII,10-14,165
CENTRO DE SAUDE JOAO XXIII,15-19,185
CENTRO DE SAUDE JOAO XXIII,20-24,232
CENTRO DE SAUDE JOAO XXIII,25-29,331
CENTRO DE SAUDE JOAO XXIII,30-39,676
CENTRO DE SAUDE JOAO XXIII,40-49,482
CENTRO DE SAUDE JOAO XXIII,50-59,414
CENTRO DE SAUDE JOAO XXIII,60-69,353
CENTRO DE SAUDE JOAO XXIII,70+,262
CENTRO DE SAUDE LAGOA,0-4,708
CENTRO DE SAUDE LAGOA,5-9,824
CENTRO DE SAUDE LAGOA,10-14,800
CENTRO DE SAUDE LAGOA,15-19,880
CENTRO DE SAUDE LAGOA,20-24,1068
CENTRO DE SAUDE LAGOA,25-29,939
CENTRO DE SAUDE LAGOA,30-39,1774
CENTRO DE SAUDE LAGOA,40-49,1977
CENTRO DE SAUDE LAGOA,50-59,1558
CENTRO DE SAUDE LAGOA,60-69,1216
CENTRO DE SAUDE LAGOA,70+,993
CENTRO DE SAUDE LAJEDO,0-4,871
CENTRO DE SAUDE LAJEDO,5-9,961
CENTRO DE SAUDE LAJEDO,10-14,915
CENTRO DE SAUDE LAJEDO,15-19,1034
CENTRO DE SAUDE LAJEDO,20-24,1246
CENTRO DE SAUDE LAJEDO,25-29,1192
CENTRO DE SAUDE LAJEDO,30-39,2176
CENTRO DE SAUDE LAJEDO,40-49,2207
CENTRO DE SAUDE LAJEDO,50-59,1691
CENTRO DE SAUDE LAJEDO,60-69,1201
CENTRO DE SAUDE LAJEDO,70+,803
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,0-4,533
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,5-9,591
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,10-14,651
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,15-19,741
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,20-24,851
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,25-29,714
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,30-39,1525
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,40-49,1792
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,50-59,1473
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,60-69,1081
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,70+,1131
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,0-4,427
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,5-9,522
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,10-14,520
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,15-19,569
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,20-24,691
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,25-29,639
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,30-39,1304
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,40-49,1387
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,50-59,1289
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,60-69,954
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,70+,750
CENTRO DE SAUDE MANGUEIRAS,0-4,1076
CENTRO DE SAUDE MANGUEIRAS,5-9,1127
CENTRO DE SAUDE MANGUEIRAS,10-14,1129
CENTRO DE SAUDE MANGUEIRAS,15-19,1107
CENTRO DE SAUDE MANGUEIRAS,20-24,1173
CENTRO DE SAUDE MANGUEIRAS,25-29,1193
CENTRO DE SAUDE MANGUEIRAS,30-39,2381
CENTRO DE SAUDE MANGUEIRAS,40-49,2106
CENTRO DE SAUDE MANGUEIRAS,50-59,1381
CENTRO DE SAUDE MANGUEIRAS,60-69,905
CENTRO DE SAUDE MANGUEIRAS,70+,572
CENTRO DE SAUDE MANTIQUEIRA,0-4,749
CENTRO DE SAUDE MANTIQUEIRA,5-9,889
CENTRO DE SAUDE MANTIQUEIRA,10-14,952
CENTRO DE SAUDE MANTIQUEIRA,15-19,979
CENTRO DE SAUDE MANTIQUEIRA,20-24,1168
CENTRO DE SAUDE MANTIQUEIRA,25-29,1126
CENTRO DE SAUDE MANTIQUEIRA,30-39,2106
CENTRO DE SAUDE MANTIQUEIRA,40-49,2436
CENTRO DE SAUDE MANTIQUEIRA,50-59,1935
CENTRO DE SAUDE MANTIQUEIRA,60-69,1446
CENTRO DE SAUDE MANTIQUEIRA,70+,1253
CENTRO DE SAUDE MARIA GORETTI,0-4,702
CENTRO DE SAUDE MARIA GORETTI,5-9,798
CENTRO DE SAUDE MARIA GORETTI,10-14,740
CENTRO DE SAUDE MARIA GORETTI,15-19,863
CENTRO DE SAUDE MARIA GORETTI,20-24,1103
CENTRO DE SAUDE MARIA GORETTI,25-29,1154
CENTRO DE SAUDE MARIA GORETTI,30-39,1909
CENTRO DE SAUDE MARIA GORETTI,40-49,2208
CENTRO DE SAUDE MARIA GORETTI,50-59,2150
CENTRO DE SAUDE MARIA GORETTI,60-69,1547
CENTRO DE SAUDE MARIA GORETTI,70+,1265
CENTRO DE SAUDE MARIANO DE ABREU,0-4,705
CENTRO DE SAUDE MARIANO DE ABREU,5-9,776
CENTRO DE SAUDE MARIANO DE ABREU,10-14,842
CENTRO DE SAUDE MARIANO DE ABREU,15-19,832
CENTRO DE SAUDE MARIANO DE ABREU,20-24,1077
CENTRO DE SAUDE MARIANO DE ABREU,25-29,1057
CENTRO DE SAUDE MARIANO DE ABREU,30-39,1990
CENTRO DE SAUDE MARIANO DE ABREU,40-49,2023
CENTRO DE SAUDE MARIANO DE ABREU,50-59,1820
CENTRO DE SAUDE MARIANO DE ABREU,60-69,1413
CENTRO DE SAUDE MARIANO DE ABREU,70+,1100
CENTRO DE SAUDE MENINO JESUS,0-4,1578
CENTRO DE SAUDE MENINO JESUS,5-9,1683
CENTRO DE SAUDE MENINO JESUS,10-14,1593
CENTRO DE SAUDE MENINO JESUS,15-19,2001
CENTRO DE SAUDE MENINO JESUS,20-24,2917
CENTRO DE SAUDE MENINO JESUS,25-29,3605
CENTRO DE SAUDE MENINO JESUS,30-39,7334
CENTRO DE SAUDE MENINO JESUS,40-49,6503
CENTRO DE SAUDE MENINO JESUS,50-59,6025
CENTRO DE SAUDE MENINO JESUS,60-69,6325
CENTRO DE SAUDE MENINO JESUS,70+,7737
CENTRO DE SAUDE MG-20,0-4,447
CENTRO DE SAUDE MG-20,5-9,547
CENTRO DE SAUDE MG-20,10-14,562
CENTRO DE SAUDE MG-20,15-19,549
CENTRO DE SAUDE MG-20,20-24,624
CENTRO DE SAUDE MG-20,25-29,607
CENTRO DE SAUDE MG-20,30-39,1175
CENTRO DE SAUDE MG-20,40-49,1187
CENTRO DE SAUDE MG-20,50-59,867
CENTRO DE SAUDE MG-20,60-69,578
CENTRO DE SAUDE MG-20,70+,452
CENTRO DE SAUDE MILIONARIOS,0-4,808
CENTRO DE SAUDE MILIONARIOS,5-9,941
CENTRO DE SAUDE MILIONARIOS,10-14,902
CENTRO DE SAUDE MILIONARIOS,15-19,1041
CENTRO DE SAUDE MILIONARIOS,20-24,1296
CENTRO DE SAUDE MILIONARIOS,25-29,1219
CENTRO DE SAUDE MILIONARIOS,30-39,2619
CENTRO DE SAUDE MILIONARIOS,40-49,2602
CENTRO DE SAUDE MILIONARIOS,50-59,2321
CENTRO DE SAUDE MILIONARIOS,60-69,1783
CENTRO DE SAUDE MILIONARIOS,70+,1397
CENTRO DE SAUDE MINAS CAIXA,0-4,768
CENTRO DE SAUDE MINAS CAIXA,5-9,878
CENTRO DE SAUDE MINAS CAIXA,10-14,950
CENTRO DE SAUDE MINAS CAIXA,15-19,1017
CENTRO DE SAUDE MINAS CAIXA,20-24,1175
CENTRO DE SAUDE MINAS CAIXA,25-29,1101
CENTRO DE SAUDE MINAS CAIXA,30-39,2425
CENTRO DE SAUDE MINAS CAIXA,40-49,2480
CENTRO DE SAUDE MINAS CAIXA,50-59,2249
CENTRO DE SAUDE MINAS CAIXA,60-69,1503
CENTRO DE SAUDE MINAS CAIXA,70+,1280
CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0-4,879
CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,5-9,1002
